epoch,split,loss,acc,macro_f1,mcc,lr,backbone_state
1,train,1.107044073490882,0.5985563575791227,0.5948761770707635,0.4714083227795938,1e-05,unfrozen_last_fraction=0.70
1,val,0.8587986787160238,0.75,0.6832300788542286,0.6371849943098689,1e-05,unfrozen_last_fraction=0.70
2,train,0.7212030326638336,0.8223209328151028,0.817161401399415,0.7636577537819159,1e-05,unfrozen_last_fraction=0.70
2,val,0.7351689354578654,0.7666666666666667,0.7231999892671834,0.6651631524335284,1e-05,unfrozen_last_fraction=0.70
3,train,0.5479691073273633,0.8861743475846752,0.8870697466380753,0.8485168287201205,1e-05,unfrozen_last_fraction=0.70
3,val,0.6346049451828003,0.7983333333333333,0.7403448277811606,0.7072242053400005,1e-05,unfrozen_last_fraction=0.70
4,train,0.4240602024193276,0.9311493614658523,0.9317598487430284,0.908227974411685,1e-05,unfrozen_last_fraction=0.70
4,val,0.6565884033838908,0.7733333333333333,0.7057953786914732,0.6894719317780053,1e-05,unfrozen_last_fraction=0.70
5,train,0.3562866692772049,0.9439200444197668,0.9449635500981464,0.9253360942321908,1e-05,unfrozen_last_fraction=0.70
5,val,0.5852859075864156,0.7983333333333333,0.720005085330422,0.706453490040644,1e-05,unfrozen_last_fraction=0.70
6,train,0.30012199573057485,0.960577456968351,0.9591313112973816,0.9474293266950983,1e-05,unfrozen_last_fraction=0.70
6,val,0.5777874604860942,0.815,0.7138188999940153,0.738408557823549,1e-05,unfrozen_last_fraction=0.70
7,train,0.23584684749433293,0.9750138811771238,0.9740232419116777,0.9666645281922405,1e-05,unfrozen_last_fraction=0.70
7,val,0.533818525870641,0.8266666666666667,0.7527337743423566,0.7487884978121577,1e-05,unfrozen_last_fraction=0.70
8,train,0.22024817466901317,0.9761243753470294,0.9769851876150004,0.9682177788050924,1e-05,unfrozen_last_fraction=0.70
8,val,0.6293621333440145,0.7883333333333333,0.6752905086949456,0.7051622402734299,1e-05,unfrozen_last_fraction=0.70
9,train,0.17942147057033922,0.9866740699611327,0.98635070067904,0.9822614163818307,1e-05,unfrozen_last_fraction=0.70
9,val,0.5692077799638112,0.805,0.7160630489992778,0.7171452352154646,1e-05,unfrozen_last_fraction=0.70
10,train,0.160420059818549,0.9872293170460855,0.9872294177178642,0.9830026725079485,1e-05,unfrozen_last_fraction=0.70
10,val,0.5896607063213984,0.8183333333333334,0.7116959579929074,0.7413122678459013,1e-05,unfrozen_last_fraction=0.70
11,train,0.11487341423139912,0.9922265408106608,0.9921770428073723,0.9896297338302436,0.0001,frozen (explicit_window)
11,val,0.5751932275295257,0.8316666666666667,0.7242941829459493,0.7557375319357564,0.0001,frozen (explicit_window)
12,train,0.09681137106787291,0.9894503053858967,0.9893072289503646,0.9859348213477653,0.0001,frozen (explicit_window)
12,val,0.5993321681022644,0.8316666666666667,0.7239230067086677,0.7564148124072666,0.0001,frozen (explicit_window)
13,train,0.07870189770270161,0.9888950583009439,0.989058065426597,0.9851760686282206,0.0001,frozen (explicit_window)
13,val,0.5647290835777918,0.8366666666666667,0.7282273054891695,0.7623648767493626,0.0001,frozen (explicit_window)
14,train,0.06365672758739568,0.9894503053858967,0.9896794907843378,0.9859318849147073,0.0001,frozen (explicit_window)
14,val,0.5970721689860026,0.8333333333333334,0.7248483201581027,0.756978301678147,0.0001,frozen (explicit_window)
15,train,0.056936133584666426,0.9938922820655192,0.9938898663010319,0.9918611588878117,0.0001,frozen (explicit_window)
15,val,0.5862980537613233,0.8366666666666667,0.7282528007627609,0.7620397319678162,0.0001,frozen (explicit_window)
16,train,0.05855289032514197,0.9922265408106608,0.9923612068436916,0.9896361872037464,0.0001,frozen (explicit_window)
16,val,0.6720294972260793,0.8266666666666667,0.7018052381592508,0.7494636976897943,0.0001,frozen (explicit_window)
17,train,0.0441767261640222,0.9938922820655192,0.9939227210395798,0.9918519204516062,0.0001,frozen (explicit_window)
17,val,0.6947800021866958,0.8266666666666667,0.7106523247744623,0.7506901349873052,0.0001,frozen (explicit_window)
18,train,0.04697128733219801,0.991671293725708,0.9914841378777041,0.9888913562184601,0.0001,frozen (explicit_window)
18,val,0.6407910593350729,0.8333333333333334,0.7169050283961365,0.7579769601879871,0.0001,frozen (explicit_window)
19,train,0.03234700862316209,0.9955580233203776,0.995586333243186,0.9940783329222688,0.0001,frozen (explicit_window)
19,val,0.6455813796321551,0.83,0.7229820253950798,0.7534085430054999,0.0001,frozen (explicit_window)
20,train,0.029762343783034988,0.9966685174902832,0.9966481702423811,0.9955702206907469,0.0001,frozen (explicit_window)
20,val,0.7393601702650389,0.8233333333333334,0.6984731073370926,0.7462703149196679,0.0001,frozen (explicit_window)
